date	time	story nr.	session nr.	response	correct	ishit	absorption_score	density_score
08/06/2019	08/06/2019 15:11:04	4	1	B	B	1	6	6
08/06/2019	08/06/2019 15:19:06	4	2	B	B	1	6	6
08/06/2019	08/06/2019 15:30:09	4	3	A	A	1	5	5
08/06/2019	08/06/2019 15:40:29	4	4	B	B	1	5	6
08/06/2019	08/06/2019 15:53:28	4	5	A	A	1	5	5
08/06/2019	08/06/2019 16:05:24	4	6	A	A	1	7	6
08/06/2019	08/06/2019 16:16:33	4	7	C	C	1	5	5
08/06/2019	08/06/2019 16:26:42	4	8	B	B	1	5	5
