name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
HLC0032	headloc	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0033	headloc	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0018	headloc_gof	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0028	headloc_gof	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0038	headloc_gof	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0014	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0015	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0016	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0017	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0024	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0025	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0026	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0027	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0034	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0035	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0036	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
HLC0037	reserved	unknown	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
